Location,Country,Disease,Species,HealthMap Alert ID,Headline,URL,Issue Date,Alert Tag,SC,SD,CC,CD,RO,Feed Name,Lon,Lat,Place Categories
Sierra Leone,Sierra Leone,Ebola,Humans,4345427,"Risks for another Ebola outbreak remain high and for an even larger area, study shows - Humanosphere",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNE34Z8NKnsWuMRJr6CtmrXaqcIp-w&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779158473858&ei=TdOHV-CsOpLK3QGS6KJg&url=http://www.humanosphere.org/global-health/2016/07/risks-for-another-ebola-outbreak-remain-high-and-for-an-even-larger-area-study-shows/,7/14/16 13:39,Breaking,,,,,,Google News,-11.79192,8.56028,
Liberia,Liberia,Ebola,Humans,4326412,Liberia: Amb. Sulunteh Dubbed 'Ebola Diplomat' - AllAfrica.com,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGy-VpLZ5ZqyJa6kqhDGDLarw_OMA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779149389366&ei=Za97V_GlA5bF3QGBz4SYDQ&url=http://allafrica.com/stories/201607050675.html,7/5/16 8:13,Breaking,,,,,,Google News,-9.30791,6.44809,
Liberia,Liberia,Ebola,Humans,4325749,PREVAIL Launches new study in male Ebola survivors - The New Dawn Liberia,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGgQ0zrWxAhtQZnxywN-Ua6arI0eA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779149389366&ei=zRR7V4CRJMSA3QGbnbPYCw&url=http://www.thenewdawnliberia.com/news/10832-prevail-launches-new-study-in-male-ebola-survivors,7/4/16 21:24,Breaking,,,,,,Google News,-9.30791,6.44809,
Nigeria,Nigeria,Ebola,Humans,4325233,Ebola in Nigeria 2014: 93 Days trailer released - Outbreak News Today,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFjQGdeIPjPJz9trc7VJAgocyFgzw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779145901009&ei=TaR6V4iLM8e23QHr2aXIDg&url=http://outbreaknewstoday.com/ebola-in-nigeria-2014-93-days-trailer-released-53254/,7/4/16 13:55,Breaking,,,,,,Google News,8.10531,9.59396,
Guinea,Guinea,Ebola,Humans,4232745,"As Ebola Wanes, Guinea, Liberia, Sierra Leone, and World Look to Curb Next Pandemic - World Bank Group",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFDHVTFc5UD8Ep45Q9NvclZqpz3Dg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779110310211&ei=Qv89V7DmLMy53gHp_oaQBg&url=http://www.worldbank.org/en/news/feature/2016/05/13/as-ebola-outbreak-wanes-guinea-liberia-sierra-leone-show-what-could-have-been-done-to-prevent-ebolas-spread-and-what-can-be-done-now-to-stop-the-next-pandemic,5/17/16 16:26,Breaking,,,,,,Google News,-10.94177,10.43821,
Sierra Leone,Sierra Leone,Ebola,Humans,4232745,"As Ebola Wanes, Guinea, Liberia, Sierra Leone, and World Look to Curb Next Pandemic - World Bank Group",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFDHVTFc5UD8Ep45Q9NvclZqpz3Dg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779110310211&ei=Qv89V7DmLMy53gHp_oaQBg&url=http://www.worldbank.org/en/news/feature/2016/05/13/as-ebola-outbreak-wanes-guinea-liberia-sierra-leone-show-what-could-have-been-done-to-prevent-ebolas-spread-and-what-can-be-done-now-to-stop-the-next-pandemic,5/17/16 16:26,Breaking,,,,,,Google News,-11.79192,8.56028,
Liberia,Liberia,Ebola,Humans,4232745,"As Ebola Wanes, Guinea, Liberia, Sierra Leone, and World Look to Curb Next Pandemic - World Bank Group",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFDHVTFc5UD8Ep45Q9NvclZqpz3Dg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779110310211&ei=Qv89V7DmLMy53gHp_oaQBg&url=http://www.worldbank.org/en/news/feature/2016/05/13/as-ebola-outbreak-wanes-guinea-liberia-sierra-leone-show-what-could-have-been-done-to-prevent-ebolas-spread-and-what-can-be-done-now-to-stop-the-next-pandemic,5/17/16 16:26,Breaking,,,,,,Google News,-9.30791,6.44809,
Liberia,Liberia,Ebola,Humans,4183228,Ebola Incubus returned Liberia after disease free ‰ÛÒ Chicago Daily Science - Daily Star Gazette,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNF5ThUbSfOtXvIrDvMPcg1laLIoYA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779095152956&ei=i68eV7iiJobQ3QGav76ACA&url=http://www.albanydailystar.com/health/ebola-incubus-returned-liberia-after-disease-free-chicago-daily-science-11070.html,4/25/16 19:09,Breaking,,,3,1,,Google News,-9.30791,6.44809,
Guinea,Guinea,Ebola,Humans,4183214,"After 2 Years , Finally end of Ebola in Guinea ‰ÛÒ billgates - Daily Star Gazette",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHR73jOPSYcWPvvTBoy-0vzimWVhw&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=nq8eV-DcKtOO3QHt7aagCA&url=http://www.albanydailystar.com/health/after-2-years-finally-end-of-ebola-in-guinea-billgates-10627.html,4/23/16 13:53,Breaking,,,,,,Google News,-10.94177,10.43821,
Guinea,Guinea,Ebola,Humans,4171734,Guinea: One Known Ebola Case Left in Guinea - AllAfrica.com,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEktp2fU2PiI3oQJWPiE-stJV0Oyw&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=a28XV4DcC9jR3gGNgL-ACw&url=http://allafrica.com/stories/201604200726.html,4/20/16 5:58,Breaking,,,,,,Google News,-10.94177,10.43821,
