Location,Country,Disease,Species,Feed Language,HM Alert ID,Headline,URL,Issue Date,Alert Tag,SC,SD,CC,CD,RO,Feed Name
Sierra Leone,Sierra Leone,Ebola,Humans,fr,4647819,"PRO/FR> Maladie ÌÊ virus Ebola, infections asymptomatiques - Sierra Leone (03): (Nord)",http://promedmail.org/direct.php?id=20161124.4647819,11/24/16 4:21,No Tag,,,,,,ProMED FranÌ¤ais
Liberia,Liberia,Ebola,Humans,fr,4589973,"PRO/FR> Maladie ÌÊ virus Ebola, sÌ©quelles psychologiques graves - Liberia (03): (Monrovia)",http://promedmail.org/direct.php?id=20161028.4589973,10/28/16 14:56,No Tag,,,,,,ProMED FranÌ¤ais
Liberia,Liberia,Ebola,Humans,,4564066,"PRO/AH/EDR> Ebola update (62): news, research, treatment, funding",http://promedmail.org/direct.php?id=20161017.4564066,10/17/16 10:02,No Tag,,,,,,ProMED Mail
Guinea,Guinea,Ebola,Humans,,4564066,"PRO/AH/EDR> Ebola update (62): news, research, treatment, funding",http://promedmail.org/direct.php?id=20161017.4564066,10/17/16 10:02,No Tag,,,,,,ProMED Mail
Sierra Leone,Sierra Leone,Ebola,Humans,,4564066,"PRO/AH/EDR> Ebola update (62): news, research, treatment, funding",http://promedmail.org/direct.php?id=20161017.4564066,10/17/16 10:02,No Tag,,,,,,ProMED Mail
Liberia,Liberia,Ebola,Humans,ar,4548364,"PRO/MENA> Ebola update (11): news, funding, economy / ¯¤ô_¯¬ôöôã¯¤ ¯¤ôã¯»¯_¯øô_¯Ç (11): ¯£¯¨¯¬¯¤¯± ôö¯¤ôã¯»ôÉôöô_ôã ôö¯¤ôã¯¤ôâ¯»¯µ¯¤¯ø",http://promedmail.org/direct.php?id=20161010.4548364,10/10/16 14:43,No Tag,,,,,,ProMED Middle East
Guinea,Guinea,Ebola,Humans,ar,4548364,"PRO/MENA> Ebola update (11): news, funding, economy / ¯¤ô_¯¬ôöôã¯¤ ¯¤ôã¯»¯_¯øô_¯Ç (11): ¯£¯¨¯¬¯¤¯± ôö¯¤ôã¯»ôÉôöô_ôã ôö¯¤ôã¯¤ôâ¯»¯µ¯¤¯ø",http://promedmail.org/direct.php?id=20161010.4548364,10/10/16 14:43,No Tag,,,,,,ProMED Middle East
Sierra Leone,Sierra Leone,Ebola,Humans,ar,4548364,"PRO/MENA> Ebola update (11): news, funding, economy / ¯¤ô_¯¬ôöôã¯¤ ¯¤ôã¯»¯_¯øô_¯Ç (11): ¯£¯¨¯¬¯¤¯± ôö¯¤ôã¯»ôÉôöô_ôã ôö¯¤ôã¯¤ôâ¯»¯µ¯¤¯ø",http://promedmail.org/direct.php?id=20161010.4548364,10/10/16 14:43,No Tag,,,,,,ProMED Middle East
United States,United States,Ebola,Humans,ar,4548364,"PRO/MENA> Ebola update (11): news, funding, economy / ¯¤ô_¯¬ôöôã¯¤ ¯¤ôã¯»¯_¯øô_¯Ç (11): ¯£¯¨¯¬¯¤¯± ôö¯¤ôã¯»ôÉôöô_ôã ôö¯¤ôã¯¤ôâ¯»¯µ¯¤¯ø",http://promedmail.org/direct.php?id=20161010.4548364,10/10/16 14:43,No Tag,,,,,,ProMED Middle East
"Glasgow, Scotland, United Kingdom",United Kingdom,Ebola,Humans,ar,4548364,"PRO/MENA> Ebola update (11): news, funding, economy / ¯¤ô_¯¬ôöôã¯¤ ¯¤ôã¯»¯_¯øô_¯Ç (11): ¯£¯¨¯¬¯¤¯± ôö¯¤ôã¯»ôÉôöô_ôã ôö¯¤ôã¯¤ôâ¯»¯µ¯¤¯ø",http://promedmail.org/direct.php?id=20161010.4548364,10/10/16 14:43,No Tag,,,,,,ProMED Middle East
Guinea,Guinea,Ebola,Humans,,4547627,"PRO/AH/EDR> Ebola update (61): news, funding, economy",http://promedmail.org/direct.php?id=20161009.4547627,10/9/16 19:58,No Tag,,,,,,ProMED Mail
Liberia,Liberia,Ebola,Humans,,4547627,"PRO/AH/EDR> Ebola update (61): news, funding, economy",http://promedmail.org/direct.php?id=20161009.4547627,10/9/16 19:58,No Tag,,,,,,ProMED Mail
Sierra Leone,Sierra Leone,Ebola,Humans,,4547627,"PRO/AH/EDR> Ebola update (61): news, funding, economy",http://promedmail.org/direct.php?id=20161009.4547627,10/9/16 19:58,No Tag,,,,,,ProMED Mail
Liberia,Liberia,Ebola,Humans,ar,4515438,"PRO/MENA> Ebola update (10): news, research, funding / ¯¤ô_¯¬ôöôã¯¤ ¯¤ôã¯»¯_¯øô_¯Ç (10): ¯¤ôã¯£¯¨¯¬¯¤¯± ôö¯¤ôã¯£¯¬¯_¯¤¯Ç ôö¯¤ôã¯»ôÉôöô_ôã",http://promedmail.org/direct.php?id=20160926.4515438,9/26/16 12:33,No Tag,,,,,,ProMED Middle East
Guinea,Guinea,Ebola,Humans,ar,4515438,"PRO/MENA> Ebola update (10): news, research, funding / ¯¤ô_¯¬ôöôã¯¤ ¯¤ôã¯»¯_¯øô_¯Ç (10): ¯¤ôã¯£¯¨¯¬¯¤¯± ôö¯¤ôã¯£¯¬¯_¯¤¯Ç ôö¯¤ôã¯»ôÉôöô_ôã",http://promedmail.org/direct.php?id=20160926.4515438,9/26/16 12:33,No Tag,,,,,,ProMED Middle East
Sierra Leone,Sierra Leone,Ebola,Humans,ar,4515438,"PRO/MENA> Ebola update (10): news, research, funding / ¯¤ô_¯¬ôöôã¯¤ ¯¤ôã¯»¯_¯øô_¯Ç (10): ¯¤ôã¯£¯¨¯¬¯¤¯± ôö¯¤ôã¯£¯¬¯_¯¤¯Ç ôö¯¤ôã¯»ôÉôöô_ôã",http://promedmail.org/direct.php?id=20160926.4515438,9/26/16 12:33,No Tag,,,,,,ProMED Middle East
Liberia,Liberia,Ebola,Humans,ar,4498511,"PRO/MENA> Ebola update (09): news, research, funding, vaccine / ¯¤ô_¯¬ôöôã¯¤ ¯¤ôã¯»¯_¯øô_¯Ç (09): ¯¤ôã¯£¯¨¯¬¯¤¯± ôö¯¤ôã¯£¯¬¯_¯¤¯Ç ôö¯¤ôã¯»ôÉôöô_ôã¯Î ôãôâ¯¤¯_",http://promedmail.org/direct.php?id=20160919.4498511,9/19/16 10:44,No Tag,,,,,,ProMED Middle East
Guinea,Guinea,Ebola,Humans,ar,4498511,"PRO/MENA> Ebola update (09): news, research, funding, vaccine / ¯¤ô_¯¬ôöôã¯¤ ¯¤ôã¯»¯_¯øô_¯Ç (09): ¯¤ôã¯£¯¨¯¬¯¤¯± ôö¯¤ôã¯£¯¬¯_¯¤¯Ç ôö¯¤ôã¯»ôÉôöô_ôã¯Î ôãôâ¯¤¯_",http://promedmail.org/direct.php?id=20160919.4498511,9/19/16 10:44,No Tag,,,,,,ProMED Middle East
Sierra Leone,Sierra Leone,Ebola,Humans,ar,4498511,"PRO/MENA> Ebola update (09): news, research, funding, vaccine / ¯¤ô_¯¬ôöôã¯¤ ¯¤ôã¯»¯_¯øô_¯Ç (09): ¯¤ôã¯£¯¨¯¬¯¤¯± ôö¯¤ôã¯£¯¬¯_¯¤¯Ç ôö¯¤ôã¯»ôÉôöô_ôã¯Î ôãôâ¯¤¯_",http://promedmail.org/direct.php?id=20160919.4498511,9/19/16 10:44,No Tag,,,,,,ProMED Middle East
Liberia,Liberia,Ebola,Humans,,4497393,"PRO/EDR> Ebola update (58): news, research, funding, vaccine",http://promedmail.org/direct.php?id=20160918.4497393,9/18/16 18:13,No Tag,,,,,,ProMED Mail
Liberia,Liberia,Ebola,Humans,ar,4432386,"PRO/MENA> Ebola update (08): rapid test recall, nurse, research / ¯¤ô_¯¬ôöôã¯¤ ¯¤ôã¯»¯_¯øô_¯Ç (8): ¯¤¯¨¯»¯¬¯¤¯± ¯_¯±ô_¯_ ¯»¯¡ôÄ¯±¯Î ôÉôÉ¯±¯¦¯©¯Î ¯¬¯_¯Ç",http://promedmail.org/direct.php?id=20160822.4432386,8/22/16 14:18,No Tag,,,,,,ProMED Middle East
Guinea,Guinea,Ebola,Humans,ar,4432386,"PRO/MENA> Ebola update (08): rapid test recall, nurse, research / ¯¤ô_¯¬ôöôã¯¤ ¯¤ôã¯»¯_¯øô_¯Ç (8): ¯¤¯¨¯»¯¬¯¤¯± ¯_¯±ô_¯_ ¯»¯¡ôÄ¯±¯Î ôÉôÉ¯±¯¦¯©¯Î ¯¬¯_¯Ç",http://promedmail.org/direct.php?id=20160822.4432386,8/22/16 14:18,No Tag,,,,,,ProMED Middle East
Sierra Leone,Sierra Leone,Ebola,Humans,ar,4432386,"PRO/MENA> Ebola update (08): rapid test recall, nurse, research / ¯¤ô_¯¬ôöôã¯¤ ¯¤ôã¯»¯_¯øô_¯Ç (8): ¯¤¯¨¯»¯¬¯¤¯± ¯_¯±ô_¯_ ¯»¯¡ôÄ¯±¯Î ôÉôÉ¯±¯¦¯©¯Î ¯¬¯_¯Ç",http://promedmail.org/direct.php?id=20160822.4432386,8/22/16 14:18,No Tag,,,,,,ProMED Middle East
